device	etype	ch	idx	topic	mode	group	label	page	led_target	enabled	notes
vcm600	note	12	67	vcm600/channel/12/track		channel_buttons	Channel 12 Track	channel_switch	vcm600/channel/12/track	1	Live corrected track for channel 12: idx 68
vcm600	note	12	68	vcm600/channel/12/stop		channel_buttons	Channel 12 Stop	channel_switch	vcm600/channel/12/stop	1	Manual corrected by live test: status 9B idx 45
vcm600	note	12	69	vcm600/channel/12/play		channel_buttons	Channel 12 Play	channel_switch	vcm600/channel/12/play	1	Manual corrected by live test: status 9B idx 46
vcm600	cc	12	16	vcm600/channel/12/eq_hi	abs	channel_controls	Channel 12 EQ Hi	channel_volume		1	Live corrected eq_hi for channel 12: idx 17
vcm600	cc	12	17	vcm600/channel/12/eq_mid	abs	channel_controls	Channel 12 EQ Mid	channel_volume		1	Live corrected eq_mid for channel 12: idx 18
vcm600	cc	12	18	vcm600/channel/12/eq_low	abs	channel_controls	Channel 12 EQ Low	channel_volume		1	Live corrected eq_low for channel 12: idx 19
vcm600	cc	12	10	vcm600/channel/12/pan	abs	channel_controls	Channel 12 Pan	channel_volume		1	Live corrected pan for channel 12: idx 11
vcm600	cc	12	19	vcm600/channel/12/send_a	abs	channel_controls	Channel 12 Send A	channel_volume		1	Live corrected send_a for channel 12: idx 20
vcm600	cc	12	20	vcm600/channel/12/send_b	abs	channel_controls	Channel 12 Send B	channel_volume		1	Live corrected send_b for channel 12: idx 21
vcm600	cc	12	21	vcm600/channel/12/resonance	abs	channel_controls	Channel 12 Resonance	channel_volume		1	Live corrected resonance for channel 12: idx 22
vcm600	cc	12	22	vcm600/channel/12/frequency	abs	channel_controls	Channel 12 Frequency	channel_volume		1	Live corrected frequency for channel 12: idx 23
vcm600	cc	12	23	vcm600/channel/12/level	abs	channel_controls	Channel 12 Level	channel_volume		1	Live corrected level index for channel 12: idx 24
vcm600	note	13	12	vcm600/global/fx_grid/1/1		effect_buttons	FX Grid 1/1	global	vcm600/global/fx_grid/1/1	1	2x4 FX Grid; row 1 col 1; note 12
vcm600	note	13	13	vcm600/global/fx_grid/1/2		effect_buttons	FX Grid 1/2	global	vcm600/global/fx_grid/1/2	1	2x4 FX Grid; row 1 col 2; note 13
vcm600	note	13	14	vcm600/global/fx_grid/1/3		effect_buttons	FX Grid 1/3	global	vcm600/global/fx_grid/1/3	1	2x4 FX Grid; row 1 col 3; note 14
vcm600	note	13	15	vcm600/global/fx_grid/1/4		effect_buttons	FX Grid 1/4	global	vcm600/global/fx_grid/1/4	1	2x4 FX Grid; row 1 col 4; note 15
vcm600	note	13	16	vcm600/global/fx_grid/2/1		effect_buttons	FX Grid 2/1	global	vcm600/global/fx_grid/2/1	1	2x4 FX Grid; row 2 col 1; note 16
vcm600	note	13	17	vcm600/global/fx_grid/2/2		effect_buttons	FX Grid 2/2	global	vcm600/global/fx_grid/2/2	1	2x4 FX Grid; row 2 col 2; note 17
vcm600	note	13	18	vcm600/global/fx_grid/2/3		effect_buttons	FX Grid 2/3	global	vcm600/global/fx_grid/2/3	1	2x4 FX Grid; row 2 col 3; note 18
vcm600	note	13	19	vcm600/global/fx_grid/2/4		effect_buttons	FX Grid 2/4	global	vcm600/global/fx_grid/2/4	1	2x4 FX Grid; row 2 col 4; note 19
vcm600	note	13	78	vcm600/global/return_mute_a		global_buttons	Return Mute A	global	vcm600/global/return_mute_a	1	Live corrected return_mute_a: ch 13 idx 79
vcm600	note	13	79	vcm600/global/return_mute_b		global_buttons	Return Mute B	global	vcm600/global/return_mute_b	1	Live corrected return_mute_b: ch 13 idx 80
vcm600	note	13	80	vcm600/global/master_btn/1		master_buttons	Master Button 1	global	vcm600/global/master_btn/1	1	Live corrected master_l: ch 13 idx 81 / renamed label to 1 / renamed topic / renamed to btn schema
vcm600	note	13	81	vcm600/global/master_btn/2		master_buttons	Master Button 2	global	vcm600/global/master_btn/2	1	Live corrected master_j: ch 13 idx 82 / renamed label to 2 / renamed topic / renamed to btn schema
vcm600	note	13	82	vcm600/global/loop_in		global_buttons	Loop In	global	vcm600/global/loop_in	1	Live corrected loop_in: ch 13 idx 83
vcm600	note	13	83	vcm600/global/loop_out		global_buttons	Loop Out	global	vcm600/global/loop_out	1	Live corrected loop_out: ch 13 idx 84
vcm600	note	13	84	vcm600/global/loop_on_off		global_buttons	Loop On/Off	global	vcm600/global/loop_on_off	1	Live corrected loop_on_off: ch 13 idx 85
vcm600	note	13	85	vcm600/global/nudge_minus		global_buttons	Nudge -	global	vcm600/global/nudge_minus	1	Live corrected nudge_minus: ch 13 idx 86
vcm600	note	13	86	vcm600/global/nudge_plus		global_buttons	Nudge +	global	vcm600/global/nudge_plus	1	Live corrected nudge_plus: ch 13 idx 87
vcm600	note	13	86	vcm600/global/scene_push		global_buttons	Scene Push	global	vcm600/global/scene_push	1	Manual right-side switch mapping / corrected to global channel 13
vcm600	note	13	87	vcm600/global/foot_switch		global_buttons	Foot Switch	global	vcm600/global/foot_switch	1	Manual right-side switch mapping / corrected to global channel 13
vcm600	note	13	89	vcm600/global/scene_plus		global_buttons	Scene +	global	vcm600/global/scene_plus	1	Live corrected scene_plus: ch 13 idx 90
vcm600	note	13	90	vcm600/global/scene_minus		global_buttons	Scene -	global	vcm600/global/scene_minus	1	Live corrected scene_minus: ch 13 idx 91
vcm600	cc	13	12	vcm600/global/fx_grid/1/1	abs	effect_controls	FX Grid 1/1	global	vcm600/global/fx_grid/1/1	1	2x4 FX Grid; row 1 col 1; note 12
vcm600	cc	13	13	vcm600/global/fx_grid/1/2	abs	effect_controls	FX Grid 1/2	global	vcm600/global/fx_grid/1/2	1	2x4 FX Grid; row 1 col 2; note 13
vcm600	cc	13	14	vcm600/global/fx_grid/1/3	abs	effect_controls	FX Grid 1/3	global	vcm600/global/fx_grid/1/3	1	2x4 FX Grid; row 1 col 3; note 14
vcm600	cc	13	15	vcm600/global/fx_grid/1/4	abs	effect_controls	FX Grid 1/4	global	vcm600/global/fx_grid/1/4	1	2x4 FX Grid; row 1 col 4; note 15
vcm600	cc	13	16	vcm600/global/fx_grid/2/1	abs	effect_controls	FX Grid 2/1	global	vcm600/global/fx_grid/2/1	1	2x4 FX Grid; row 2 col 1; note 16
vcm600	cc	13	17	vcm600/global/fx_grid/2/2	abs	effect_controls	FX Grid 2/2	global	vcm600/global/fx_grid/2/2	1	2x4 FX Grid; row 2 col 2; note 17
vcm600	cc	13	18	vcm600/global/fx_grid/2/3	abs	effect_controls	FX Grid 2/3	global	vcm600/global/fx_grid/2/3	1	2x4 FX Grid; row 2 col 3; note 18
vcm600	cc	13	19	vcm600/global/fx_grid/2/4	abs	effect_controls	FX Grid 2/4	global	vcm600/global/fx_grid/2/4	1	2x4 FX Grid; row 2 col 4; note 19
vcm600	cc	13	20	vcm600/global/return_a_pan	abs	global_controls	Return A Pan	global		1	Live corrected global return_a_pan: ch 13 idx 21
vcm600	cc	13	21	vcm600/global/return_b_pan	abs	global_controls	Return B Pan	global		1	Live corrected global return_b_pan: ch 13 idx 22
vcm600	cc	13	22	vcm600/global/return_a_level	abs	global_controls	Return A Level	global		1	Live corrected return_a_level: ch 13 idx 23
vcm600	cc	13	23	vcm600/global/return_b_level	abs	global_controls	Return B Level	global		1	Live corrected return_b_level: ch 13 idx 24
vcm600	cc	13	24	vcm600/global/master_cue	abs	global_controls	Master Cue	global		1	Live corrected master_cue: ch 13 idx 25
vcm600	cc	13	10	vcm600/global/master_pan	abs	global_controls	Master Pan	global		1	Live corrected master_pan: ch 13 idx 11
vcm600	cc	13	7	vcm600/global/master_level	abs	global_controls	Master Level	global		1	Live corrected master_level: ch 13 idx 8
vcm600	cc	13	8	vcm600/global/cross_fader	abs	global_controls	Crossfader	global		1	Live corrected cross_fader: ch 13 idx 9
vcm600	cc	13	25	vcm600/global/tempo_fine	abs	global_controls	Tempo Fine	global		1	Live corrected tempo_fine: ch 13 idx 26
vcm600	cc	13	26	vcm600/global/tempo	abs	global_controls	Tempo	global		1	Live corrected global tempo: ch 13 idx 27
vcm600	note	13	70	vcm600/global/fx_btn_grid/1/1		fx_buttons	FX Btn Grid 1/1	global	vcm600/global/fx_btn_grid/1/1	1	2x4 FX Btn Grid; row 1 col 1; note 70
vcm600	note	13	71	vcm600/global/fx_btn_grid/1/2		fx_buttons	FX Btn Grid 1/2	global	vcm600/global/fx_btn_grid/1/2	1	2x4 FX Btn Grid; row 1 col 2; note 71
vcm600	note	13	72	vcm600/global/fx_btn_grid/1/3		fx_buttons	FX Btn Grid 1/3	global	vcm600/global/fx_btn_grid/1/3	1	2x4 FX Btn Grid; row 1 col 3; note 72
vcm600	note	13	73	vcm600/global/fx_btn_grid/1/4		fx_buttons	FX Btn Grid 1/4	global	vcm600/global/fx_btn_grid/1/4	1	2x4 FX Btn Grid; row 1 col 4; note 73
vcm600	note	13	74	vcm600/global/fx_btn_grid/2/1		fx_buttons	FX Btn Grid 2/1	global	vcm600/global/fx_btn_grid/2/1	1	2x4 FX Btn Grid; row 2 col 1; note 74
vcm600	note	13	75	vcm600/global/fx_btn_grid/2/2		fx_buttons	FX Btn Grid 2/2	global	vcm600/global/fx_btn_grid/2/2	1	2x4 FX Btn Grid; row 2 col 2; note 75
vcm600	note	13	76	vcm600/global/fx_btn_grid/2/3		fx_buttons	FX Btn Grid 2/3	global	vcm600/global/fx_btn_grid/2/3	1	2x4 FX Btn Grid; row 2 col 3; note 76
vcm600	note	13	77	vcm600/global/fx_btn_grid/2/4		fx_buttons	FX Btn Grid 2/4	global	vcm600/global/fx_btn_grid/2/4	1	2x4 FX Btn Grid; row 2 col 4; note 77
